title;title_details;"	IMDb Rating"
Planet Earth II;1. Planet Earth II (2016);9.5
Planet Earth;2. Planet Earth (2006);9.4
Band of Brothers;3. Band of Brothers (2001);9.4
Breaking Bad;4. Breaking Bad (2008);9.4
Chernobyl;5. Chernobyl (2019);9.4
Blue Planet II;6. Blue Planet II (2017);9.3
The Wire;7. The Wire (2002);9.3
Our Planet;8. Our Planet (2019);9.3
Cosmos: A Spacetime Odyssey;9. Cosmos: A Spacetime Odyssey (2014);9.2
Cosmos;10. Cosmos (1980);9.2
Game of Thrones;11. Game of Thrones (2011);9.2
Avatar: The Last Airbender;12. Avatar: The Last Airbender (2005);9.2
Rick and Morty;13. Rick and Morty (2013);9.2
The Sopranos;14. The Sopranos (1999);9.2
The World at War;15. The World at War (1973);9.1
The Last Dance;16. The Last Dance (2020);9.1
Life;17. Life (2009);9.1
Scam 1992: The Harshad Mehta Story;18. Scam 1992: The Harshad Mehta Story (2020);9.1
Fullmetal Alchemist: Brotherhood;19. Fullmetal Alchemist: Brotherhood (2009);9.1
The Vietnam War;20. The Vietnam War (2017);9.1
Sherlock;21. Sherlock (2010);9.0
The Twilight Zone;22. The Twilight Zone (1959);9.0
Human Planet;23. Human Planet (2011);9.0
The Blue Planet;24. The Blue Planet (2001);9.0
Persona;25. Persona (2018);9.0
Batman: The Animated Series;26. Batman: The Animated Series (1992);9.0
The Beatles Anthology;27. The Beatles Anthology (1995);9.0
Frozen Planet;28. Frozen Planet (2011);9.0
Firefly;29. Firefly (2002);8.9
Dekalog;30. Dekalog (1989);8.9
True Detective;31. True Detective (2014);8.9
Death Note;32. Death Note (2006);8.9
The Civil War;33. The Civil War (1990);8.9
Apocalypse: The Second World War;34. Apocalypse: The Second World War (2009);8.9
Taskmaster;35. Taskmaster (2015);8.9
Cowboy Bebop;36. Cowboy Bebop (1998);8.9
Africa;37. Africa (2013);8.9
Fargo;38. Fargo (2014);8.9
When They See Us;39. When They See Us (2019);8.9
Last Week Tonight with John Oliver;40. Last Week Tonight with John Oliver (2014);8.9
Hunter x Hunter;41. Hunter x Hunter (2011);8.9
Only Fools and Horses;42. Only Fools and Horses (1981);8.9
The Office;43. The Office (2005);8.8
TVF Pitchers;44. TVF Pitchers (2015);8.8
Gravity Falls;45. Gravity Falls (2012);8.8
Nathan for You;46. Nathan for You (2013);8.8
Friends;47. Friends (1994);8.8
Das Boot;48. Das Boot (1985);8.8
Attack on Titan;49. Attack on Titan (2013);8.8
Seinfeld;50. Seinfeld (1989);8.8
Monty Python's Flying Circus;51. Monty Python's Flying Circus (1969);8.8
It's a Sin;52. It's a Sin (2021);8.8
Pride and Prejudice;53. Pride and Prejudice (1995);8.8
Black Mirror;54. Black Mirror (2011);8.8
How the Universe Works;55. How the Universe Works (2010);8.8
Twin Peaks;56. Twin Peaks (1990);8.8
Over the Garden Wall;57. Over the Garden Wall (2014);8.8
Narcos;58. Narcos (2015);8.7
Blackadder Goes Forth;59. Blackadder Goes Forth (1989);8.7
Ramayan;60. Ramayan (1987);8.7
One Punch Man;61. One Punch Man (2015);8.7
Kota Factory;62. Kota Factory (2019);8.7
Chappelle's Show;63. Chappelle's Show (2003);8.7
Peaky Blinders;64. Peaky Blinders (2013);8.7
Freaks and Geeks;65. Freaks and Geeks (1999);8.7
Fawlty Towers;66. Fawlty Towers (1975);8.7
The Mandalorian;67. The Mandalorian (2019);8.7
It's Always Sunny in Philadelphia;68. It's Always Sunny in Philadelphia (2005);8.7
Dark;69. Dark (2017);8.7
"Steins;Gate";"70. Steins;Gate (2011)";8.7
Dragon Ball Z;71. Dragon Ball Z (1989);8.7
The West Wing;72. The West Wing (1999);8.7
Better Call Saul;73. Better Call Saul (2015);8.7
Rome;74. Rome (2005);8.7
Vratice se rode;75. Vratice se rode (2007);8.7
Gullak;76. Gullak (2019);8.7
Dragon Ball Z;77. Dragon Ball Z (1996);8.7
Leyla and Mecnun;78. Leyla and Mecnun (2011);8.7
Senke nad Balkanom;79. Senke nad Balkanom (2017);8.7
Stranger Things;80. Stranger Things (2016);8.7
Oz;81. Oz (1997);8.7
Arrested Development;82. Arrested Development (2003);8.7
Curb Your Enthusiasm;83. Curb Your Enthusiasm (2000);8.7
BoJack Horseman;84. BoJack Horseman (2014);8.7
Vinland Saga;85. Vinland Saga (2019);8.7
I, Claudius;86. I, Claudius (1976);8.7
Mahabharat;87. Mahabharat (1988);8.7
Fleabag;88. Fleabag (2016);8.7
The Boys;89. The Boys (2019);8.7
The Marvelous Mrs. Maisel;90. The Marvelous Mrs. Maisel (2017);8.7
House of Cards;91. House of Cards (2013);8.7
The Adventures of Sherlock Holmes;92. The Adventures of Sherlock Holmes (1984);8.7
Justice League Unlimited;93. Justice League Unlimited (2004);8.7
One Strange Rock;94. One Strange Rock (2018);8.7
The Promised Neverland;95. The Promised Neverland (2019);8.7
The Thick of It;96. The Thick of It (2005);8.7
Sarabhai V/S Sarabhai;97. Sarabhai V/S Sarabhai (2004);8.6
Six Feet Under;98. Six Feet Under (2001);8.6
South Park;99. South Park (1997);8.6
Still Game;100. Still Game (2002);8.6
Hajime no ippo;101. Hajime no ippo (2000);8.6
The Jinx: The Life and Deaths of Robert Durst;102. The Jinx: The Life and Deaths of Robert Durst (2015);8.6
One Piece;103. One Piece (1999);8.6
The Return of Sherlock Holmes;104. The Return of Sherlock Holmes (1986);8.6
Yeh Meri Family;105. Yeh Meri Family (2018);8.6
The Universe;106. The Universe (2007);8.6
The Simpsons;107. The Simpsons (1989);8.6
House;108. House (2004);8.6
Critical Role;109. Critical Role (2015);8.6
Battlestar Galactica;110. Battlestar Galactica (2004);8.6
The Crown;111. The Crown (2016);8.6
Demon Slayer: Kimetsu No Yaiba;112. Demon Slayer: Kimetsu No Yaiba (2019);8.6
Ted Lasso;113. Ted Lasso (2020);8.6
The Shield;114. The Shield (2002);8.6
The Grand Tour;115. The Grand Tour (2016);8.6
Greatest Events of WWII in Colour;116. Greatest Events of WWII in Colour (2019);8.6
Top Gear;117. Top Gear (2002);8.6
Berserk;118. Berserk (1997);8.6
Primal;119. Primal (2019);8.6
World War II in Colour;120. World War II in Colour (2009);8.6
Downton Abbey;121. Downton Abbey (2010);8.6
Westworld;122. Westworld (2016);8.6
Haikyuu!!;123. Haikyuu!! (2014);8.6
Lonesome Dove;124. Lonesome Dove (1989);8.6
Line of Duty;125. Line of Duty (2012);8.6
Atlanta;126. Atlanta (2016);8.6
Deadwood;127. Deadwood (2004);8.6
This Is Us;128. This Is Us (2016);8.6
Star Trek: The Next Generation;129. Star Trek: The Next Generation (1987);8.6
Bron/Broen;130. Bron/Broen (2011);8.6
Parks and Recreation;131. Parks and Recreation (2009);8.6
Blackadder II;132. Blackadder II (1986);8.6
The Memoirs of Sherlock Holmes;133. The Memoirs of Sherlock Holmes (1994);8.6
The Queen's Gambit;134. The Queen's Gambit (2020);8.6
Succession;135. Succession (2018);8.6
The Haunting of Hill House;136. The Haunting of Hill House (2018);8.6
The X-Files;137. The X-Files (1993);8.6
Code Geass;138. Code Geass (2006);8.6
Easy Living;139. Easy Living (2015);8.6
Mad Men;140. Mad Men (2007);8.6
The Eric Andre Show;141. The Eric Andre Show (2012);8.6
Battlestar Galactica;142. Battlestar Galactica (2003);8.6
Sa-rang-eui bul-sa-chak;143. Sa-rang-eui bul-sa-chak (2019);8.6
Friday Night Lights;144. Friday Night Lights (2006);8.6
Formula 1: Drive to Survive;145. Formula 1: Drive to Survive (2019);8.6
Peep Show;146. Peep Show (2003);8.6
Cobra Kai;147. Cobra Kai (2018);8.6
The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles;148. The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles (1981);8.6
Gomorrah;149. Gomorrah (2014);8.6
Rurouni Kenshin: Trust and Betrayal;150. Rurouni Kenshin: Trust and Betrayal (1999);8.6
Mister Rogers' Neighborhood;151. Mister Rogers' Neighborhood (1968);8.6
The Bureau;152. The Bureau (2015);8.6
Blackadder the Third;153. Blackadder the Third (1987);8.6
Archer;154. Archer (2009);8.6
Father Ted;155. Father Ted (1995);8.6
Young Justice;156. Young Justice (2010);8.6
Mindhunter;157. Mindhunter (2017);8.6
Anne with an E;158. Anne with an E (2017);8.6
Dexter;159. Dexter (2006);8.6
The Bugs Bunny Show;160. The Bugs Bunny Show (1960);8.6
Through the Wormhole;161. Through the Wormhole (2010);8.6
Daredevil;162. Daredevil (2015);8.6
QI;163. QI (2003);8.6
Behzat Ç.: Bir Ankara Polisiyesi;164. Behzat Ç.: Bir Ankara Polisiyesi (2010);8.6
Long Way Round;165. Long Way Round (2004);8.6
Monster;166. Monster (2004);8.6
Mind Your Language;167. Mind Your Language (1977);8.5
Umbre;168. Umbre (2014);8.5
North & South;169. North & South (2004);8.5
Yes Minister;170. Yes Minister (1980);8.5
The Newsroom;171. The Newsroom (2012);8.5
Making a Murderer;172. Making a Murderer (2015);8.5
Ethos;173. Ethos (2020);8.5
Panchayat;174. Panchayat (2020);8.5
Content Cop;175. Content Cop (2015);8.5
Pose;176. Pose (2018);8.5
Poirot;177. Poirot (1989);8.5
It's Okay to Not Be Okay;178. It's Okay to Not Be Okay (2020);8.5
Spaced;179. Spaced (1999);8.5
El Chavo del Ocho;180. El Chavo del Ocho (1972);8.5
Dragon Ball;181. Dragon Ball (1986);8.5
Skam;182. Skam (2015);8.5
Brass Eye;183. Brass Eye (1997);8.5
Justified;184. Justified (2010);8.5
Yes, Prime Minister;185. Yes, Prime Minister (1986);8.5
Justice League;186. Justice League (2001);8.5
Dragon Ball;187. Dragon Ball (1995);8.5
Twin Peaks;188. Twin Peaks (2017);8.5
Neon Genesis Evangelion;189. Neon Genesis Evangelion (1995);8.5
Samurai Champloo;190. Samurai Champloo (2004);8.5
Boardwalk Empire;191. Boardwalk Empire (2010);8.5
Adventure Time;192. Adventure Time (2010);8.5
Pew News;193. Pew News (2018);8.5
Mr. Bean;194. Mr. Bean (1990);8.5
Fullmetal Alchemist;195. Fullmetal Alchemist (2003);8.5
Second Spring;196. Second Spring (1998);8.5
From the Earth to the Moon;197. From the Earth to the Moon (1998);8.5
Flight of the Conchords;198. Flight of the Conchords (2007);8.5
Letterkenny;199. Letterkenny (2016);8.5
Mystery Science Theater 3000;200. Mystery Science Theater 3000 (1988);8.5
The Great British Baking Show;201. The Great British Baking Show (2010);8.5
The Bugs Bunny/Road Runner Hour;202. The Bugs Bunny/Road Runner Hour (1968);8.5
Chef's Table;203. Chef's Table (2015);8.5
Hunter x Hunter;204. Hunter x Hunter (1999);8.5
Detectorists;205. Detectorists (2014);8.5
Love, Death & Robots;206. Love, Death & Robots (2019);8.5
Coupling;207. Coupling (2000);8.5
Shameless;208. Shameless (2011);8.5
Impractical Jokers;209. Impractical Jokers (2011);8.5
The Untold History of the United States;210. The Untold History of the United States (2012);8.5
Doctor Who;211. Doctor Who (2005);8.5
The IT Crowd;212. The IT Crowd (2006);8.5
Mr. Robot;213. Mr. Robot (2015);8.5
Alfred Hitchcock Presents;214. Alfred Hitchcock Presents (1955);8.5
Naruto: Shippûden;215. Naruto: Shippûden (2007);8.5
Endeavour;216. Endeavour (2012);8.5
The Defiant Ones;217. The Defiant Ones (2017);8.5
Generation Kill;218. Generation Kill (2008);8.5
Louie;219. Louie (2010);8.5
Mob Psycho 100;220. Mob Psycho 100 (2016);8.5
Homicide: Life on the Street;221. Homicide: Life on the Street (1993);8.5
GTO;222. GTO (1999);8.5
Silicon Valley;223. Silicon Valley (2014);8.5
The Night Of;224. The Night Of (2016);8.5
Whose Line Is It Anyway?;225. Whose Line Is It Anyway? (1998);8.5
I'm Alan Partridge;226. I'm Alan Partridge (1997);8.5
Big Little Lies;227. Big Little Lies (2017);8.5
My Brilliant Friend;228. My Brilliant Friend (2018);8.5
Spartacus: Gods of the Arena;229. Spartacus: Gods of the Arena (2011);8.5
Hannibal;230. Hannibal (2013);8.5
Shigatsu wa kimi no uso;231. Shigatsu wa kimi no uso (2014);8.5
The Office;232. The Office (2001);8.5
Horace and Pete;233. Horace and Pete (2016);8.5
Ezel;234. Ezel (2009);8.5
Sacred Games;235. Sacred Games (2018);8.5
Sons of Anarchy;236. Sons of Anarchy (2008);8.5
What We Do in the Shadows;237. What We Do in the Shadows (2019);8.5
Erased;238. Erased (2016);8.5
The New Batman Adventures;239. The New Batman Adventures (1997);8.5
Yellowstone;240. Yellowstone (2018);8.5
Delhi Crime;241. Delhi Crime (2019);8.5
Black Books;242. Black Books (2000);8.5
John Adams;243. John Adams (2008);8.5
Gintama;244. Gintama (2005);8.5
Spartacus;245. Spartacus (2010);8.5
The Venture Bros.;246. The Venture Bros. (2003);8.4
The Expanse;247. The Expanse (2015);8.4
Clannad: After Story;248. Clannad: After Story (2008);8.4
Samurai Jack;249. Samurai Jack (2001);8.4
Harley Quinn;250. Harley Quinn (2019);8.4
