year_added,type,show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2008.0,Movie,1,1,1,1,1,1,1,1,1,1,1
2008.0,TV Show,1,1,0,0,1,1,1,1,1,1,1
2009.0,Movie,2,2,2,2,2,2,2,2,2,2,2
2010.0,Movie,1,1,1,1,1,1,1,1,1,1,1
2011.0,Movie,13,13,13,13,13,13,13,13,13,13,13
2012.0,Movie,3,3,3,3,3,3,3,3,3,3,3
2013.0,Movie,6,6,6,6,6,6,6,6,6,6,6
2013.0,TV Show,5,5,1,5,5,5,5,5,5,5,5
2014.0,Movie,19,19,18,15,19,19,19,19,19,19,19
2014.0,TV Show,6,6,0,6,6,6,6,6,6,6,6
2015.0,Movie,58,58,56,49,54,58,58,58,58,58,58
2015.0,TV Show,30,30,3,28,29,30,30,30,30,30,30
2016.0,Movie,258,258,239,221,249,258,258,256,258,258,258
2016.0,TV Show,185,185,8,170,175,185,185,184,185,185,185
2017.0,Movie,864,864,848,755,839,864,864,861,864,864,864
2017.0,TV Show,361,361,33,326,320,361,361,361,361,361,361
2018.0,Movie,1255,1255,1206,1160,1209,1255,1255,1255,1255,1255,1255
2018.0,TV Show,430,430,25,368,354,430,430,429,430,430,430
2019.0,Movie,1497,1497,1454,1395,1422,1497,1497,1497,1497,1497,1497
2019.0,TV Show,656,656,36,584,571,656,656,656,656,656,656
2020.0,Movie,1312,1312,1282,1245,1251,1312,1312,1312,1312,1312,1312
2020.0,TV Show,697,697,74,597,639,697,697,697,697,697,697
2021.0,Movie,88,88,85,85,78,88,88,88,88,88,88
2021.0,TV Show,29,29,4,24,24,29,29,29,29,29,29
